regulon,target_gene
ARID3A(+),SLIT2
ARID3A(+),AHDC1
ARID3A(+),MAGI1
ARID3A(+),SCARA3
ARID3A(+),E2F8
ARID3A(+),HOTTIP
ARID3A(+),RALBP1
ARID3A(+),ARID3A
ARID3A(+),CALM1
ARID3A(+),ZBTB7A
ARID3A(+),ARL4C
ARID3A(+),TRIM2
ARID3A(+),CTBP2
ARID3A(+),C9orf129
ARID3A(+),SMARCD3
ARID3A(+),TBPL1
ARID3A(+),CXXC5
ARID3A(+),JMY
ARID3A(+),JUND
ARID3A(+),ATP6V0E1
ARID3A(+),WDR1
ARID3A(+),JADE1
ARID3A(+),CDK6
ARID3A(+),THUMPD3-AS1
ARID3A(+),EIF4G1
ARID3A(+),UBE2L6
ARID3A(+),ANK3
ARID3A(+),IGF1R
ARID3A(+),SH3YL1
ARID3A(+),TM7SF2
ARID3A(+),ADIPOR1
ARID3A(+),SDC1
ARID3A(+),TSC22D4
ARID3A(+),TCF20
ARID3A(+),RNF26
ARID3A(+),KLF6
ARID3A(+),MAP3K8
ARID3A(+),DUSP16
ARID3A(+),ERLEC1
ARID3A(+),PLAG1
ARID3A(+),ARID1B
ARID3A(+),TTC39C
ARID3A(+),HEBP2
ARID3A(+),CYB5R2
ARID3A(+),RHEB
ARID3A(+),KCNK2
ARID3A(+),SLC2A3
ARID3A(+),EVPL
ARID3A(+),TAGLN2
ARID3A(+),HBZ
ARID3A(+),AMOTL2
ARID3A(+),SYNCRIP
ARID3A(+),TMTC2
ARID3A(+),CRABP2
ARID3A(+),HNRNPU
ARID3A(+),ZNF706
ARID3A(+),TRIB3
ARID3A(+),KCNC3
ARID3A(+),CISH
ARID3A(+),PPP1R3B
ARID3A(+),ATF4
ARID3A(+),AHNAK
ARID3A(+),PHF23
ARID3A(+),EIF2AK3
ARID3A(+),APCDD1
ARID3A(+),MYH14
ARID3A(+),RBMX
ARID3A(+),GATA3
ARID3A(+),MT1E
ARID3A(+),RASSF7
ARID3A(+),ITGB1
ARID3A(+),FLNB
ARID3A(+),EGFR
ARID3A(+),PANK3
ARID3A(+),SPINT1
ARID3A(+),GPR37
ARID3A(+),KRT5
ARID3A(+),SMARCA4
ARID3A(+),RCAN3
ARID3A(+),REST
ARID3A(+),ZNF319
