regulon,target_gene
ARNT(+),MGA
ARNT(+),WT1
ARNT(+),NAB1
ARNT(+),TP53INP1
ARNT(+),FDCSP
ARNT(+),DAB2
ARNT(+),KMT5B
ARNT(+),ITGB1
ARNT(+),ZFAND3
ARNT(+),FOXP3
ARNT(+),CLSTN2
ARNT(+),AKAP12
ARNT(+),TMEM266
ARNT(+),CNIH1
ARNT(+),TMX1
ARNT(+),LINC00636
ARNT(+),METAP1D
ARNT(+),HOXA5
ARNT(+),TADA1
ARNT(+),RBFOX1
ARNT(+),ZNF131
ARNT(+),NPAS2
ARNT(+),OSBPL1A
ARNT(+),BMP2
ARNT(+),KIAA1024
ARNT(+),FGD5
ARNTL(+),CDADC1
ARNTL(+),HHIP
ARNTL(+),DNAJC27-AS1
ARNTL(+),RAP1GAP
ARNTL(+),PPARD
ARNTL(+),RAB11FIP3
ARX(+),DSCAML1
ARX(+),COL25A1
ARX(+),ARX
ARX(+),KIF1B
ARX(+),PPM1E
ARX(+),TP63
ARX(+),FAM78A
ARX(+),CACNA1H
ARX(+),GJA5
ATF1(+),CEBPB
ATF1(+),SPAG9
ATF1(+),NFYC
ATF1(+),MAFF
ATF1(+),USP11
ATF1(+),TUBB2A
ATF1(+),ZNF503
ATF1(+),CYCS
ATF1(+),SLC25A39
ATF1(+),TBX5
ATF1(+),TAF10
ATF1(+),HSP90AB1
ATF1(+),ASPHD1
ATF1(+),COPS8
ATF1(+),AKIRIN1
ATF1(+),CSTF3
ATF1(+),MAEL
ATF1(+),G3BP2
ATF1(+),CALM1
ATF1(+),MAPRE1
ATF1(+),MED30
ATF1(+),TFDP1
ATF1(+),AMD1
ATF1(+),ARID5A
ATF1(+),RHCE
ATF2(+),FYN
ATF2(+),SPRED2
ATF2(+),MYO1B
ATF2(+),PHIP
ATF2(+),BACH1
ATF2(+),PLXDC1
ATF2(+),CHMP2B
ATF2(+),NR1I3
ATF2(+),HORMAD2-AS1
ATF2(+),HOXA3
ATF2(+),RNF19A
ATF2(+),LDB1
ATF2(+),ANKRD17
ATF2(+),STT3B
ATF2(+),HELZ
ATF2(+),RNF44
ATF2(+),EEA1
ATF2(+),GEM
ATF2(+),SLC15A1
ATF2(+),STAG2
ATF2(+),COL8A1
ATF2(+),NOS3
ATF2(+),SCYL2
ATF2(+),RORA
ATF2(+),C1RL
ATF2(+),APBB1IP
ATF2(+),SLC6A1
ATF2(+),VPS50
ATF2(+),MYO19
ATF2(+),GRIK4
ATF2(+),IFT74
ATF2(+),FAM3C
ATF2(+),SEC24D
ATF2(+),NDP
ATF2(+),OPRD1
ATF2(+),MATN1
ATF3(+),RNF44
ATF3(+),CREB5
ATF3(+),MAP1LC3A
ATF3(+),DUSP1
ATF3(+),RAD23A
ATF3(+),ATF3
ATF3(+),TRAF4
ATF3(+),NPAS4
ATF3(+),CDC14B
ATF3(+),RBM23
ATF3(+),AHCYL1
ATF3(+),DUSP8
ATF3(+),ZBTB21
ATF3(+),MLF2
ATF3(+),ATP6V0C
ATF3(+),NUP98
ATF3(+),MXI1
ATF3(+),MRM3
ATF3(+),NR4A3
ATF3(+),BTG3
ATF3(+),CLSTN2
ATF3(+),CYCS
ATF3(+),TSC22D2
ATF3(+),BTG2
ATF3(+),FAT1
ATF3(+),SPAG9
ATF3(+),STARD3NL
ATF3(+),ZNF711
ATF3(+),BTG1
ATF3(+),ELL2
ATF3(+),GNL1
ATF3(+),JUN
ATF3(+),FILIP1L
ATF3(+),TUBB2B
ATF3(+),RCE1
ATF3(+),YWHAZ
ATF3(+),GTF3C1
ATF3(+),GTF2H1
ATF3(+),PAF1
ATF3(+),ARG2
ATF3(+),BCAS2
ATF3(+),SIK1
ATF3(+),FSCN1
ATF3(+),TP53INP2
ATF3(+),GEM
ATF3(+),CSNK1D
ATF3(+),BACH2
ATF3(+),RBM18
ATF3(+),TUBB2A
ATF3(+),SNHG15
ATF3(+),PPP1R15A
ATF3(+),AMOTL2
ATF3(+),AKIRIN1
ATF3(+),FOSB
ATF3(+),TAF10
ATF3(+),CHD7
ATF3(+),NECTIN2
ATF3(+),GNB2
ATF3(+),ZNF335
ATF3(+),TSHZ3
ATF3(+),CD2AP
ATF3(+),BNIP3L
ATF3(+),BRD2
ATF3(+),EGR3
ATF3(+),SMCHD1
ATF3(+),ID1
ATF3(+),SKIL
ATF3(+),PPP2R2A
ATF3(+),GATA3
ATF3(+),YY1
ATF3(+),ZNF281
ATF3(+),MAFF
ATF3(+),FAM76B
ATF3(+),WDR82
ATF3(+),HAS1
ATF3(+),CEP57
ATF3(+),GPR137C
ATF3(+),NPPC
ATF3(+),PAFAH1B1
ATF3(+),ACHE
ATF3(+),TRA2A
ATF3(+),PPP2CA
ATF3(+),CHD2
ATF3(+),MAPK1IP1L
ATF3(+),POLB
ATF3(+),PPP2R2D
ATF3(+),ARL4D
ATF3(+),ARIH1
ATF3(+),MXD1
ATF3(+),EP300
ATF3(+),GOLPH3
ATF3(+),CCDC86
ATF3(+),CLK4
ATF3(+),JUND
ATF3(+),RELB
ATF3(+),YWHAH
ATF3(+),ERF
ATF3(+),MAPRE2
ATF3(+),NEK1
ATF3(+),SLC25A25
ATF3(+),CEBPB
ATF3(+),WSB1
ATF3(+),HS3ST3A1
ATF3(+),DHX36
ATF3(+),RRP1B
ATF3(+),FAM53C
ATF3(+),CBWD2
ATF3(+),LBH
ATF3(+),NSUN4
ATF3(+),PNRC1
ATF3(+),UBC
ATF3(+),BBC3
ATF3(+),UBALD1
ATF3(+),ATG101
ATF3(+),CXXC5
ATF3(+),CSNK1E
ATF3(+),LMBRD1
ATF3(+),ZNF410
ATF3(+),USP11
ATF3(+),HSP90AB1
ATF3(+),NAV2
ATF3(+),MIF
ATF3(+),UBAP1
ATF3(+),CCNL1
ATF3(+),TCEAL7
ATF3(+),FAM177A1
ATF3(+),SH2D3C
ATF3(+),THOC1
ATF3(+),HHIP
ATF3(+),AK4
ATF3(+),LDHA
ATF3(+),USP22
ATF3(+),ZFAND2A
ATF3(+),GPCPD1
ATF3(+),DUSP16
ATF3(+),KDM4C
ATF3(+),KLF6
ATF3(+),PPP1R10
ATF3(+),SPTAN1
ATF3(+),USP48
ATF3(+),DCTN4
ATF3(+),PPM1D
ATF3(+),UBAP2L
ATF3(+),EIF1
ATF3(+),SMDT1
ATF3(+),CEP170
ATF3(+),KDM6B
ATF3(+),PRRC2A
ATF3(+),EPC1
ATF3(+),SLC25A36
ATF3(+),MEF2D
ATF3(+),RPP14
ATF3(+),TRNT1
ATF3(+),DESI2
ATF3(+),SLC12A6
ATF3(+),MLF1
ATF3(+),LUZP1
ATF3(+),MAPKAPK5-AS1
ATF3(+),TLE3
ATF3(+),CDC42EP1
ATF3(+),G3BP2
ATF3(+),EGR4
ATF3(+),PIK3R3
ATF3(+),EIF4A2
ATF3(+),STK19
ATF3(+),SMARCA5
ATF3(+),NR4A1
ATF3(+),NBR1
ATF3(+),CACYBP
ATF3(+),INSIG1
ATF3(+),UBE2B
ATF3(+),STAT3
ATF3(+),ARID5B
ATF3(+),EPB41L3
ATF3(+),ZNF503
ATF3(+),TIMP3
ATF3(+),NFIL3
ATF3(+),DNAJA2
ATF3(+),LANCL2
ATF3(+),REV3L
ATF3(+),TNFAIP3
ATF3(+),ZFP36L1
ATF3(+),RHOBTB1
ATF3(+),SLC25A33
ATF3(+),SARNP
ATF3(+),ZNF574
ATF3(+),SCN3B
ATF3(+),PEG3
ATF3(+),DAAM1
ATF3(+),TRA2B
ATF3(+),CCDC47
ATF3(+),CEBPG
ATF3(+),OTUD6B-AS1
ATF3(+),SIAH1
ATF3(+),PHF3
ATF3(+),SDE2
ATF3(+),C16orf72
ATF3(+),IER2
ATF3(+),KIAA1143
ATF3(+),ZC3H12A
ATF3(+),ARF5
ATF3(+),ZEB1
ATF3(+),CCDC169-SOHLH2
ATF3(+),EXOSC9
ATF3(+),FOS
ATF3(+),GLI3
ATF3(+),ZFAND5
ATF3(+),BTAF1
ATF3(+),MAP4
ATF3(+),FBXO33
ATF3(+),MFN2
ATF3(+),C6orf62
ATF3(+),IFRD1
ATF3(+),KMT2E
ATF3(+),ANK1
ATF3(+),FLNA
ATF3(+),RAB21
ATF3(+),ZIM2
ATF3(+),RPS6KA3
ATF3(+),ZNF547
ATF3(+),SMAD7
ATF3(+),YWHAG
ATF3(+),KRAS
ATF3(+),AZIN1
ATF3(+),RABL6
ATF3(+),PPP1R2
ATF3(+),OSER1
ATF3(+),SPOP
ATF3(+),TBCC
ATF3(+),ZNF330
ATF3(+),SNX5
ATF3(+),GTPBP10
ATF3(+),JUNB
ATF3(+),POM121
ATF3(+),TMF1
ATF3(+),CTCF
ATF3(+),ING3
ATF3(+),EGR1
ATF3(+),ZNF292
ATF3(+),NT5C3A
ATF3(+),ICE1
ATF3(+),DDX3X
ATF3(+),CHMP1B
ATF3(+),NELFA
ATF3(+),AFF4
ATF3(+),SMG1
ATF3(+),FHL1
ATF3(+),MKL1
ATF3(+),FAM107B
ATF3(+),TUBB3
ATF3(+),RAB5A
ATF3(+),SPRY2
ATF3(+),GOLGA6L9
ATF3(+),ATG3
ATF3(+),FLRT3
ATF3(+),USP13
ATF3(+),MID1
ATF3(+),CRKL
ATF3(+),TP53BP1
ATF3(+),FREM2
ATF3(+),ARL5B
ATF3(+),USP2
ATF3(+),MRPS17
ATF3(+),PALLD
ATF3(+),EGR2
ATF3(+),ZKSCAN1
ATF3(+),CNN2
ATF3(+),CCT4
ATF3(+),TMEM178B
ATF3(+),MYNN
ATF3(+),ARHGEF18
ATF3(+),HIST1H2AJ
ATF3(+),RAP1B
ATF3(+),RNASEK
ATF3(+),SRSF3
ATF3(+),PEA15
ATF3(+),MCL1
ATF3(+),ALOX12-AS1
ATF3(+),SEMA6A
ATF3(+),CALM1
ATF3(+),APPBP2
ATF3(+),RBM12
ATF3(+),PRICKLE1
ATF3(+),HSPH1
ATF3(+),ANAPC1
ATF3(+),SLC25A4
ATF3(+),C12orf73
ATF3(+),BBS7
ATF3(+),SERTAD2
ATF3(+),HBS1L
ATF3(+),TCTN3
ATF3(+),HSPA14
ATF3(+),CBX4
ATF3(+),TAGLN
ATF3(+),ZBTB18
ATF3(+),RCC1
ATF3(+),UBE4B
ATF3(+),MBIP
ATF3(+),PLK2
ATF3(+),FRAT2
ATF3(+),WAPL
ATF3(+),NKAP
ATF3(+),ZYX
ATF3(+),SATB1
ATF3(+),PHC3
ATF3(+),S100A13
ATF3(+),GADD45A
ATF3(+),SQSTM1
ATF3(+),DUSP14
ATF3(+),NABP1
ATF3(+),RNF19A
ATF3(+),TRAF5
ATF3(+),MARCKSL1
ATF3(+),PSD3
ATF3(+),AHCTF1
ATF3(+),EMD
ATF3(+),RELL1
ATF3(+),ABHD16A
ATF3(+),AIFM1
ATF3(+),TOPORS
ATF3(+),CCDC85B
ATF3(+),ETF1
ATF3(+),GDNF
ATF3(+),NFE2L2
ATF3(+),BDP1
ATF3(+),ARID2
ATF3(+),BOD1
ATF3(+),DUSP10
ATF3(+),CDKN1A
ATF3(+),MYC
ATF3(+),BLOC1S6
ATF3(+),ASXL3
ATF3(+),UTP23
ATF3(+),C5orf51
ATF3(+),CREBRF
ATF3(+),PPP1R12A
ATF3(+),RNF220
ATF3(+),ATP1B3
ATF3(+),PELI1
ATF3(+),RNF115
ATF3(+),POLR3C
ATF3(+),MYO18A
ATF3(+),IER3
ATF3(+),FHL2
ATF3(+),C1orf35
ATF3(+),STK32C
ATF3(+),CLTB
ATF3(+),GRB2
ATF3(+),NDEL1
ATF3(+),PTPN11
ATF3(+),CCNH
ATF3(+),CTDSP2
ATF3(+),SMAD1
ATF3(+),BASP1
ATF3(+),ZNF827
ATF3(+),NCAPH
ATF3(+),TOP1
ATF3(+),RGS16
ATF3(+),LGMN
ATF3(+),KLHL15
ATF3(+),AKAP13
ATF3(+),MARCH7
ATF3(+),FEM1C
ATF3(+),TPT1
ATF3(+),OXR1
ATF3(+),CCNK
ATF3(+),NOG
ATF3(+),SUPT6H
ATF3(+),DACT1
ATF3(+),TBC1D15
ATF3(+),PTP4A1
ATF3(+),HTATSF1
ATF3(+),MKNK2
ATF3(+),USP8
ATF3(+),C11orf1
ATF3(+),CNOT7
ATF3(+),CACUL1
ATF3(+),DNAJB4
ATF3(+),CCDC130
ATF3(+),NAF1
ATF3(+),UAP1
ATF3(+),GABARAP
ATF3(+),NRIP1
ATF3(+),IRF2BP1
ATF3(+),ODC1
ATF3(+),NSMCE3
ATF3(+),SIRT1
ATF3(+),ZBTB5
ATF3(+),SLC16A1
ATF3(+),TWISTNB
ATF3(+),GAPVD1
ATF3(+),RGS3
