regulon,target_gene
ARID3A(-),CD151
ARID3A(-),COTL1
ARID3A(-),HMG20B
ARID3A(-),LAMB1
ARID3A(-),ADD3
ARID3A(-),FILIP1
ARID3A(-),PLA2G16
ARID3A(-),RHOJ
ARID3A(-),APP
ARID3A(-),SPTBN1
ARID3A(-),COL5A3
ARID3A(-),NPW
ARID3A(-),PLAT
ARID3A(-),NTRK3
ARID3A(-),TGFBR2
ARID3A(-),NUCB2
ARID3A(-),NRP2
ARID3A(-),VAPA
ARID3A(-),DNAJB1
ARID3A(-),PABPN1
ARID3A(-),SERPINH1
ARID3A(-),AFAP1L2
ARID3A(-),FAM107B
ARID3A(-),EPB41L2
ARID3A(-),FIBIN
ARID3A(-),EMP2
ARID3A(-),ABCA8
ARID3A(-),RUNX1T1
ARID3A(-),MAP2K2
ARID3A(-),GRN
ARID3A(-),LIMCH1
ARID3A(-),GATM
ARID3A(-),ARHGAP15
ARID3A(-),RELN
ARID3A(-),MBP
ARID3A(-),COL4A2
ARID3A(-),AHR
ARID3A(-),PHLDA3
ARID3A(-),CD9
ARID3A(-),RBMS1
ARNT(+),CNTFR
ARNT(+),ISL1
ARNT(+),ANKRD46
ARNT(+),ADAMTS10
ARNT(+),RASAL2
ARNT(+),KHDRBS3
ARNT(+),FGD3
ARNT(+),DAPK1
ARNT(+),HPGDS
ARNT(+),MADCAM1
ARNT(+),PDS5A
ARNT(+),TGFB2
ARNT(+),ASH1L
ARNT(+),FILIP1
ARNT(+),CCS
ARNT(+),TMPO
ARNT(+),LUZP1
ARNT(+),C5orf24
ARNT(+),SNHG21
ARNT(+),C15orf41
ARNT(+),RASSF8
ARNT(+),CLPX
ARNT(+),PTCH1
ARNT(+),CRB3
ARNT(+),ANKRD17
ARNT(+),CDH12
ARNT(+),VPS72
ARNT(+),PTPDC1
ARNT(+),TCEAL9
ARNT(+),TMEM60
ARNT(+),MLPH
ARNT(+),TMEM156
ARNT(+),PODNL1
ARNT(+),LAMC2
ARNT(+),CCDC43
ARNT(+),LIMCH1
ARNT(+),CLN3
ARNT(+),ASXL1
ARNT(+),PIANP
ARNT(+),NUP107
ARNT(+),RPS6KA2
ARNT(+),RPL22L1
ARNT(+),CRTC2
ARNT(+),ZNF582-AS1
ARNT(+),ILVBL
ARNT(+),UBE2J1
ARNT(+),KIF18A
ARNT(+),WDR55
ARNT(+),CREB3L2
ARNT(+),MRPL15
ARNT(+),MCAT
ARNT(+),TBC1D24
ARNT(+),ARNT
ARNT(+),FAM98A
ARNT(+),TTLL3
ARNT(+),ZYX
ARNT(+),ABCA8
ARNT(+),FGF22
ARNT(+),NFXL1
ARNT(+),XAGE2
ARNT(+),CKMT1A
ARNT(+),RBMS2
ARNT(+),DUS3L
ARNT(+),MTMR3
ARNT(+),NEK1
ARNT(+),ZNF48
ARNT(+),ZNF41
ARNT(+),FREM1
ARNT(+),ZCCHC17
ARNT(+),ZNF775
ARNT(+),PDGFRA
ARNT(+),ZNF565
ARNT(+),GMPPA
ARNT(+),SQLE
ARNT(+),TMEM164
ARNT(+),POLR1E
ARNT(+),RCOR2
ARNT(+),XPOT
ARNT(+),ARHGEF5
ARNT(+),CEP131
ARNT(+),CAPN7
ARNT(+),ZNF341
ARNT(+),UNC13D
ARNT(+),CLCN7
ARNT(+),HOXC9
ARNT(+),PCGF2
ARNT(+),FKBP11
ARNT(+),ZBTB40
ARNT(+),TP53INP1
ARNT(+),EHMT2
ARNT(+),PI4KA
ARNT(+),LONRF3
ARNT(+),POLR3E
ARNT(+),NUTM2A-AS1
ARNT(+),KLHL24
ARNT(+),INSM1
ARNT(+),MAGED1
ARNT(+),GDI2
ARNT(+),SLC1A6
ARNT(+),C1orf198
ARNT(+),SEPT2
ARNT(+),ADPRHL1
ARNT(+),PES1
ARNT(+),IMPDH2
ARNT(+),LTBP1
ARNT(+),TXNIP
ARNT(+),NFE2L1
ARNT(+),KLHL22
ARNT(+),CPLX2
ARNT(+),PLAGL1
ARNT(+),TGFBRAP1
ARNT(+),SORL1
ARNT(+),MYO9A
ARNT(+),MPND
ARNT(+),LMLN
ARNT(+),PPARD
ARNT(+),CEP44
ARNT(+),CXorf40B
ARNT(+),SMAD7
ARNT(+),APOC3
ARNT(+),MARCH6
ARNT(+),POLR1D
ARNT(+),GNB3
ARNT(+),TTI1
ARNT(+),FOXJ3
ARNT(+),PNPLA6
ARNT(+),RIPK4
ARNT(+),FAM192A
ARNT(+),CHMP4C
ARNT(+),MIR133A1HG
ARNT(+),ZFYVE9
ARNT(+),NCOA7
ARNT(+),ANKRD26
ARNT(+),FABP6
ARNT(+),MAP2K3
ARNT(+),PRPF40B
ARNT(+),SRM
ARNT(+),TOR1AIP2
ARNT(+),CBX7
ARNT(+),FAM234B
ARNT(+),PDE4DIP
ARNT(+),RBM18
ARNT(+),ANK3
ARNT(+),UQCRC2
ARNT(+),BTBD9
ARNT(+),HDAC6
ARNT(+),RFC1
ARNT(+),GABARAPL1
ARNT(+),ARHGEF35
ARNT(+),OTUD7A
ARNT(+),SCAF4
ARNT(+),USP25
ARNT(+),HTRA1
ARNT(+),NPPC
ARNT(+),EVA1A
ARNT(+),ZNF652
ARNT(+),CSTF1
ARNT(+),GOPC
ARNT(+),AP4B1-AS1
ARNT(+),OXA1L
ARNT(+),EPS15L1
ARNT(+),RGMA
ARNT(+),ATXN7L1
ARNT(-),CUTA
ARNT(-),BNIP3L
ARNT(-),AKAP12
ARNT(-),SMC3
ARNT(-),FXYD6
ARNT(-),PSMB2
ARNT(-),PRDX6
ARNT(-),RPL14
ARNT(-),PDHB
ARNT(-),NME4
ARNT(-),PGLS
ARNT(-),PLEKHA5
ARNT(-),TMSB4X
ARNT(-),FSCN1
ARNT(-),NME1
ARNT(-),FIS1
ARNT(-),PARK7
ARNT(-),VAT1
ARNT(-),ARRDC3
ARNT(-),ZNHIT1
ARNT(-),SRGAP2B
