regulon,target_gene
AR(+),MMP23B
AR(+),FBLN2
AR(+),GFRA2
AR(+),AR
AR(+),FOXF1
AR(+),ATP1B1
AR(+),PHACTR1
AR(+),CCDC85A
AR(+),NTRK3
AR(+),GAP43
AR(+),SLC8A1
AR(+),PIK3R1
ARID3A(-),CALM1
ARID3A(-),TRIM47
ARID3A(-),STAMBPL1
ARID3A(-),FAM180A
ARID3A(-),PRDX1
ARID3A(-),EIF4EBP1
ARID3A(-),PRSS35
ARID3A(-),RABEPK
ARID3A(-),ARID3A
ARID3A(-),MARVELD1
ARID3A(-),PIK3R1
ARID3A(-),VPS36
ARID3A(-),AGTR1
ARID3A(-),FXYD1
ARID3A(-),TMEM220
ARID3A(-),RPS16
ARID3A(-),TXNDC15
ARID3A(-),PALLD
ARID3A(-),CCND2
ARID3A(-),ANKRD11
ARID3A(-),PTPN11
ARID3A(-),USO1
ARID3A(-),HNRNPAB
ARID3A(-),ASAP1
ARID3A(-),FAM13B
ARID3A(-),CANX
ARID3A(-),SPTAN1
ARID3A(-),PDE4D
ARID3A(-),ACACA
ARID3A(-),ATF3
ARID3A(-),PLSCR3
ARID3A(-),IFI35
ARID3A(-),PPFIBP1
ARID3A(-),MAP4
ARID3A(-),SQSTM1
ARID3A(-),ATP6V0C
ARID3A(-),OAT
ARID3A(-),RECK
ARID3A(-),ARPC3
ARID3A(-),NGRN
ARID3A(-),YPEL2
ARID3A(-),FOSL2
ARID3A(-),PTP4A2
ARID3A(-),MBNL2
ARID3A(-),RHOA
ARID3A(-),PRRC2C
ARID3A(-),RBBP6
ARID3A(-),PLEC
ARID3A(-),PLCB1
ARID3A(-),DESI1
ARID3A(-),MYO1E
ARID3A(-),NFAT5
ARID3A(-),XPOT
ARID3A(-),CLK2
ARID3A(-),ACAP2
ARID3A(-),IQGAP1
ARID3A(-),RRP1B
ARID3A(-),SNX9
ARID3A(-),ARHGAP21
ARID3A(-),JMJD1C
ARID3A(-),NUFIP2
ARID3A(-),SFPQ
ARID3A(-),GPR107
ARID3A(-),CMBL
ARID3A(-),SH3D19
ARID3A(-),PTGES
ARID3A(-),SAR1B
ARID3A(-),TBL1Y
ARID3A(-),SPTSSA
ARID3A(-),G3BP2
ARID3A(-),EPC1
ARID3A(-),APPL1
ARID3A(-),CDON
ARID3A(-),ANXA4
ARID3A(-),UCK2
ARID3A(-),ZNF800
ARID3A(-),KIAA1217
ARID3A(-),GALNT7
ARID3A(-),CAMSAP2
ARID3A(-),DNMT1
ARID3A(-),SLC25A43
ARID3A(-),SACS
ARID3A(-),MCL1
ARID3A(-),ERC1
ARID3A(-),HOXB-AS3
ARID3A(-),CDK6
ARID3A(-),DEGS1
ARID3A(-),NUDT3
ARID3A(-),RAB40B
ARID3A(-),TMED10
ARID3A(-),ATE1
ARID3A(-),GPX7
ARID3A(-),NFKBIZ
ARID3A(-),TMOD3
ARID3A(-),GLG1
ARID3A(-),HSP90B1
ARID3A(-),SUCO
ARID3A(-),SSR3
ARID3A(-),PPIA
ARID3A(-),RB1
ARID3A(-),DCBLD2
ARID3A(-),DAD1
ARID3A(-),TEAD1
ARID3A(-),R3HDM1
ARID3A(-),RASL10A
ARID3A(-),NEK7
ARID3A(-),SH3PXD2B
ARID3A(-),GTF2H4
ARID3A(-),NME2
ARID3A(-),FERMT2
ARID3A(-),FNDC3A
ARID3A(-),RUNX1
ARID3A(-),TAF15
ARID3A(-),EIF2AK4
ARID3A(-),ACLY
ARID3A(-),HM13
ARID3A(-),RGL1
ARID3A(-),CREB3L1
ARID3A(-),FRMD6
ARID3A(-),SFRP5
ARID3A(-),UGGT2
ARID3A(-),NFKBIA
ARID3A(-),AS3MT
ARID5B(-),IHH
ARID5B(-),HOXB7
ARID5B(-),CHD7
ARID5B(-),CNKSR2
ARID5B(-),TFAP2C
ARID5B(-),HDLBP
ARID5B(-),IRX1
ARID5B(-),PHF19
ARID5B(-),ACTA1
ARID5B(-),FXYD1
ARID5B(-),RUNX1
ARID5B(-),PRUNE2
ARID5B(-),SP7
ARID5B(-),RAB11FIP4
ARID5B(-),AQP3
ARID5B(-),ZNF367
ARID5B(-),JDP2
ARID5B(-),CHST11
ARID5B(-),LOXL4
ARID5B(-),TSPAN13
ARID5B(-),INSIG1
ARID5B(-),PIEZO1
ARID5B(-),FOXA3
ARID5B(-),CDKN1C
ARID5B(-),LMO7
ARID5B(-),F3
ARID5B(-),CCNE2
ARID5B(-),RBP4
ARID5B(-),TCEA3
ARID5B(-),SLC39A14
ARID5B(-),OAZ1
ARID5B(-),COL2A1
ARID5B(-),CXXC5
ARID5B(-),GAL
ARID5B(-),FADS3
ARID5B(-),MATN3
ARID5B(-),SMOC1
ARID5B(-),SCUBE2
ARID5B(-),KRT19
ARID5B(-),GRP
ARID5B(-),G0S2
ARID5B(-),PEG10
ARID5B(-),PKP1
ARID5B(-),COL11A2
ARID5B(-),BCL2
ARID5B(-),PHACTR3
ARID5B(-),FAM20C
ARID5B(-),APCDD1
ARID5B(-),PRTG
ARID5B(-),ENHO
ARID5B(-),POU3F3
ARID5B(-),RGMA
ARID5B(-),PRKCZ
ARID5B(-),PCSK2
ARID5B(-),AIF1L
ARID5B(-),MSRA
ARID5B(-),CRTAC1
ARID5B(-),ACVRL1
ARID5B(-),PLAU
ARID5B(-),CREB3L1
ARID5B(-),PIM3
ARID5B(-),PALD1
ARID5B(-),SLC20A1
ARID5B(-),CKM
ARID5B(-),MYOG
ARID5B(-),ARSI
ARID5B(-),LMCD1
ARID5B(-),CPM
ARID5B(-),SOX8
ARID5B(-),WFDC1
ARID5B(-),IQSEC1
ARID5B(-),BFSP1
ARID5B(-),SH3KBP1
ARID5B(-),PTPRE
ARID5B(-),LGALS3
ARID5B(-),CTHRC1
ARID5B(-),HMGCS1
ARID5B(-),CHAD
ARID5B(-),LRRN2
ARID5B(-),SLC29A1
ARID5B(-),RAB2A
ARID5B(-),IKBIP
ARID5B(-),CEBPA
ARID5B(-),SLC39A6
ARID5B(-),SLC1A5
ARID5B(-),PTCH1
ARID5B(-),SCD
ARID5B(-),FGF1
ARID5B(-),SLC24A4
ARID5B(-),MATN1
ARID5B(-),MYOC
ARID5B(-),SRGAP2B
ARID5B(-),C1QL1
ARID5B(-),WWP2
ARID5B(-),C1QL4
ARID5B(-),ALDH1A3
ARID5B(-),ITPR2
ARID5B(-),ACSF2
ARID5B(-),CILP
ARID5B(-),EMILIN3
ARID5B(-),NFATC2
ARID5B(-),CLDN11
ARID5B(-),C1QTNF3
ARID5B(-),PAX7
ARID5B(-),SPRY2
ARID5B(-),ANXA4
ARID5B(-),PRELP
ARID5B(-),PFKP
