regulon,target_gene
ATF2(+),DNAJC27-AS1
ATF2(+),MOV10L1
ATF2(+),UBE4A
ATF2(+),CALCB
ATF2(+),ZNF616
ATF2(+),G3BP2
ATF2(+),CACNA1C
ATF2(+),SDHAF1
ATF2(+),BUD31
ATF2(+),FLI1
ATF2(+),SRSF7
ATF2(+),SHMT2
ATF2(+),DDAH1
ATF2(+),VAMP3
ATF2(+),KAT7
ATF2(+),CASP9
ATF2(+),HMBS
ATF2(+),NFXL1
ATF2(+),IPO7
ATF2(+),TGOLN2
ATF2(+),TCTEX1D1
ATF2(+),S100A2
ATF2(+),WIZ
ATF2(+),PDHX
ATF2(+),NR2C1
ATF2(+),NSMCE1
ATF2(+),SNX8
ATF2(+),TPP2
ATF2(+),CNOT11
ATF2(+),DNAJB12
ATF2(+),TSIX
ATF2(+),TPMT
ATF2(+),PPT1
ATF2(+),ZNF595
ATF2(+),ZNF771
ATF2(+),CYB5R3
ATF2(+),ATF2
ATF2(+),MCOLN1
ATF2(+),COMMD9
ATF2(+),KAT5
ATF2(+),AFF4
ATF2(+),SPNS1
ATF2(+),PTPRS
ATF2(+),RGL1
ATF2(+),HEXA-AS1
ATF2(+),INSIG1
ATF2(+),RIC1
ATF2(+),EMC2
ATF2(+),PCM1
ATF2(+),RHNO1
ATF2(+),TRAPPC8
ATF2(+),SNX2
ATF2(+),PIGR
ATF2(+),NEU1
ATF2(+),PPP1R10
ATF2(+),RAB3IL1
ATF2(+),SH3GL1
ATF2(+),ANKS1A
ATF2(+),HM13
ATF2(+),AZIN1
ATF2(+),LMBRD1
ATF2(+),NAPA
ATF2(+),RFC1
ATF2(+),NR1D1
ATF2(+),RRAGC
ATF2(+),CCDC169
ATF2(+),CISD2
ATF2(+),ING3
ATF2(+),GOLPH3
ATF2(+),IGF2BP3
ATF2(+),OGDH
ATF2(+),AMN
ATF2(+),PPM1D
ATF2(+),FAM47E
ATF2(+),FANCD2
ATF2(+),TNKS2-AS1
ATF2(+),ENTPD4
ATF2(+),DNAJB9
ATF2(+),PPP2R1A
ATF2(+),RABEP1
ATF2(+),SLC39A1
ATF2(+),ADAT3
ATF2(+),EBAG9
ATF2(+),RNF141
ATF2(+),RHBDF2
ATF2(+),TMEM169
ATF2(+),STRIP1
ATF2(+),BICD1
ATF2(+),UBE2O
ATF2(+),HSPA1L
ATF2(+),SRL
ATF2(+),MAN1A1
ATF2(+),DNAJA4
ATF2(+),PCP4
ATF2(+),GPKOW
ATF2(+),MPV17
ATF2(+),CLPB
ATF2(+),ZFYVE1
ATF2(+),LPCAT1
ATF2(+),ST3GAL5
ATF2(+),NAPB
ATF2(+),YAF2
ATF2(+),DNAJB4
ATF2(+),TMEM126A
ATF2(+),OSTM1
ATF2(+),DNAH1
ATF2(+),MPP7
ATF2(+),CTSD
ATF2(+),PGK1
ATF2(+),RNF13
ATF2(+),SAP25
ATF2(+),TPST2
ATF2(+),HADH
ATF2(+),SLC12A8
ATF2(+),DRAM1
ATF2(+),UBE2V2
ATF2(+),UBE2A
ATF2(+),TMBIM1
ATF2(+),MAEA
ATF2(+),PLIN2
ATF2(+),PRCP
ATF2(+),NOP10
ATF2(+),FAM229B
ATF2(+),GPC1
ATF2(+),ELOVL7
ATF2(+),ZMAT1
ATF2(+),LAP3
ATF2(+),BCKDK
ATF2(+),CYSTM1
ATF2(+),LTB4R
ATF2(+),C7orf61
ATF2(+),DCHS2
ATF2(+),PCF11
ATF2(+),PCP2
ATF2(+),MORN3
ATF2(+),NFKBIB
ATF2(+),TOMM40
ATF2(+),CUL4A
ATF2(+),SNX13
