regulon,target_gene
ALX1(+),HPSE2
ALX1(+),SNX1
ALX1(+),DGAT2
ALX1(+),ABLIM3
ALX1(+),CACNA2D3
ALX1(+),FAM193B
ALX1(+),RFX7
ALX1(+),ZNF248
ALX1(+),SIRT6
ALX1(+),KLHL25
ALX1(+),SENP3
ALX1(+),PTPN6
ALX1(+),ANKRD16
ALX1(+),ARHGAP27
ALX1(+),CLTCL1
ALX1(+),GPBP1L1
ALX1(+),SERGEF
ALX3(+),GPRC5C
ALX3(+),EDARADD
ALX3(+),ELMO2
ALX3(+),ISL2
ALX3(+),CDC42EP3
ALX3(+),MSX1
ALX3(+),NFKBIZ
ALX3(+),DACH1
ALX3(+),DMD
ALX3(+),COLCA1
ALX3(+),HAS2
ALX3(+),CDC6
ALX4(+),HIVEP1
ALX4(+),HOXC10
ALX4(+),DCAF5
ALX4(+),CHST11
ALX4(+),MEIS2
ALX4(+),CBARP
ALX4(+),HOXA4
ALX4(+),TBX2-AS1
ALX4(+),LHX9
ALX4(+),HNRNPL
ALX4(+),ALX4
ALX4(+),EPB41L5
ALX4(+),ZNF775
ALX4(+),TGM1
ALX4(+),SSTR1
ALX4(+),KCNJ2-AS1
ALX4(+),LMO1
ALX4(+),ZNF536
ALX4(+),KCNMA1
ALX4(+),IRX3
ALX4(+),KAZALD1
ALX4(+),SMCR5
ALX4(+),HOXA-AS3
ALX4(+),ZNF787
ALX4(+),DAB1
ALX4(+),MYRF
ALX4(+),MIR9-3HG
ALX4(+),ITGA11
ALX4(+),ADGRG1
ALX4(+),CSMD2
ALX4(+),ADAM12
ALX4(+),KLHDC8A
ALX4(+),TP53I11
ALX4(+),HAS2-AS1
ALX4(+),FIZ1
ALX4(+),IGF1
ALX4(+),SAMD4A
ALX4(+),RELT
ALX4(+),KANK1
ALX4(+),ZFYVE28
ALX4(+),PLEKHA2
ALX4(+),ALDH1A3
ALX4(+),RIMS3
ALX4(+),CDH3
ALX4(+),SRCIN1
ALX4(+),MAN2A1
ALX4(+),DLX6
ALX4(+),KLHL5
ALX4(+),GNRH1
